Empresa,Precio,Volumen,Cambio_Valor,Cambio_Porcentaje
Nike Inc,58.41,"765,149",2.8,5.04
Coca-Cola Company The,68.69,"90,595",0.32,0.47
Microsoft Corporation,368.76,"839,978",10.9,3.05
American Express Co,245.12,"23,492",10.84,4.63
Amgen Inc,289.2,"7,890",-0.49,0.17
Apple Inc,187.02,"1,938,297",5.56,3.06
Boeing Company The,146.9,"294,453",8.04,5.79
Cisco Systems Inc,54.85,"78,464",0.44,0.81
Goldman Sachs Group Inc The,488.29,"40,061",22.78,4.89
International Business Machines Corp,231.03,"18,773",5.25,2.33
Intel Corporation,20.22,"2,800,687",0.65,3.32
JPMorgan Chase & Co,222.54,"148,141",8.1,3.78
McDonald's Corp,302.11,"8,292",2.22,0.74
Salesforcecom Inc,253.48,"25,686",9.27,3.80
Verizon Communications Inc,42.96,"136,975",0.38,0.89
Visa Inc,320.46,"90,650",8.14,2.61
Walmart Inc,86.04,"175,328",2.21,2.64
Walt Disney Company The,85.7,"461,330",2.4,2.88
