Empresa,Precio,Volumen,Cambio_Valor,Cambio_Porcentaje,fecha,hora
Nike Inc,65.58,"60,281",-0.16,0.24,2025-03-27,17:35:23
Coca-Cola Company The,70.0,"25,395",-0.02,0.03,2025-03-27,17:35:23
Microsoft Corporation,390.21,"229,055",0.24,0.06,2025-03-27,17:35:23
American Express Co,275.5,"2,930",-0.5,0.18,2025-03-27,17:35:23
Amgen Inc,305.71,"1,908",-1.15,0.37,2025-03-27,17:35:23
Apple Inc,221.32,"165,216",-0.21,0.09,2025-03-27,17:35:23
Boeing Company The,178.29,"31,514",-0.26,0.15,2025-03-27,17:35:23
Cisco Systems Inc,61.87,"20,133",0.07,0.11,2025-03-27,17:35:23
Goldman Sachs Group Inc The,571.0,"9,125",-2.92,0.51,2025-03-27,17:35:23
International Business Machines Corp,250.0,"9,482",-0.34,0.14,2025-03-27,17:35:23
Intel Corporation,23.29,"739,968",-0.13,0.56,2025-03-27,17:35:23
JPMorgan Chase & Co,250.21,"17,480",-0.82,0.33,2025-03-27,17:35:23
McDonald's Corp,315.2,"4,706",1.62,0.52,2025-03-27,17:35:23
Salesforcecom Inc,280.1,"4,426",-0.89,0.32,2025-03-27,17:35:23
Verizon Communications Inc,44.34,"22,011",0.16,0.36,2025-03-27,17:35:23
Visa Inc,344.06,"3,899",-0.12,0.03,2025-03-27,17:35:23
Walmart Inc,84.81,"42,238",-0.4,0.47,2025-03-27,17:35:23
Walt Disney Company The,100.45,"11,556",-0.33,0.33,2025-03-27,17:35:23
Nike Inc,65.58,"60,281",-0.16,0.24,2025-03-27,17:58:22
Coca-Cola Company The,70.0,"25,395",-0.02,0.03,2025-03-27,17:58:22
Microsoft Corporation,390.21,"229,055",0.24,0.06,2025-03-27,17:58:22
American Express Co,275.5,"2,930",-0.5,0.18,2025-03-27,17:58:22
Amgen Inc,305.71,"1,908",-1.15,0.37,2025-03-27,17:58:22
Apple Inc,221.32,"165,216",-0.21,0.09,2025-03-27,17:58:22
Boeing Company The,178.29,"31,514",-0.26,0.15,2025-03-27,17:58:22
Cisco Systems Inc,61.87,"20,133",0.07,0.11,2025-03-27,17:58:22
Goldman Sachs Group Inc The,571.0,"9,125",-2.92,0.51,2025-03-27,17:58:22
International Business Machines Corp,250.0,"9,482",-0.34,0.14,2025-03-27,17:58:22
Intel Corporation,23.29,"739,968",-0.13,0.56,2025-03-27,17:58:22
JPMorgan Chase & Co,250.21,"17,480",-0.82,0.33,2025-03-27,17:58:22
McDonald's Corp,315.2,"4,706",1.62,0.52,2025-03-27,17:58:22
Salesforcecom Inc,280.1,"4,426",-0.89,0.32,2025-03-27,17:58:22
Verizon Communications Inc,44.34,"22,011",0.16,0.36,2025-03-27,17:58:22
Visa Inc,344.06,"3,899",-0.12,0.03,2025-03-27,17:58:22
Walmart Inc,84.81,"42,238",-0.4,0.47,2025-03-27,17:58:22
Walt Disney Company The,100.45,"11,556",-0.33,0.33,2025-03-27,17:58:22
Nike Inc,65.58,"60,281",-0.16,0.24,2025-03-27,21:28:14
Coca-Cola Company The,70.0,"25,395",-0.02,0.03,2025-03-27,21:28:14
Microsoft Corporation,390.21,"229,055",0.24,0.06,2025-03-27,21:28:14
American Express Co,275.5,"2,930",-0.5,0.18,2025-03-27,21:28:14
Amgen Inc,305.71,"1,908",-1.15,0.37,2025-03-27,21:28:14
Apple Inc,221.32,"165,216",-0.21,0.09,2025-03-27,21:28:14
Boeing Company The,178.29,"31,514",-0.26,0.15,2025-03-27,21:28:14
Cisco Systems Inc,61.87,"20,133",0.07,0.11,2025-03-27,21:28:14
Goldman Sachs Group Inc The,571.0,"9,125",-2.92,0.51,2025-03-27,21:28:14
International Business Machines Corp,250.0,"9,482",-0.34,0.14,2025-03-27,21:28:14
Intel Corporation,23.29,"739,968",-0.13,0.56,2025-03-27,21:28:14
JPMorgan Chase & Co,250.21,"17,480",-0.82,0.33,2025-03-27,21:28:14
McDonald's Corp,315.2,"4,706",1.62,0.52,2025-03-27,21:28:14
Salesforcecom Inc,280.1,"4,426",-0.89,0.32,2025-03-27,21:28:14
Verizon Communications Inc,44.34,"22,011",0.16,0.36,2025-03-27,21:28:14
Visa Inc,344.06,"3,899",-0.12,0.03,2025-03-27,21:28:14
Walmart Inc,84.81,"42,238",-0.4,0.47,2025-03-27,21:28:14
Walt Disney Company The,100.45,"11,556",-0.33,0.33,2025-03-27,21:28:14
Nike Inc,65.58,"60,281",-0.16,0.24,2025-03-27,21:58:26
Coca-Cola Company The,70.0,"25,395",-0.02,0.03,2025-03-27,21:58:26
Microsoft Corporation,390.21,"229,055",0.24,0.06,2025-03-27,21:58:26
American Express Co,275.5,"2,930",-0.5,0.18,2025-03-27,21:58:26
Amgen Inc,305.71,"1,908",-1.15,0.37,2025-03-27,21:58:26
Apple Inc,221.32,"165,216",-0.21,0.09,2025-03-27,21:58:26
Boeing Company The,178.29,"31,514",-0.26,0.15,2025-03-27,21:58:26
Cisco Systems Inc,61.87,"20,133",0.07,0.11,2025-03-27,21:58:26
Goldman Sachs Group Inc The,571.0,"9,125",-2.92,0.51,2025-03-27,21:58:26
International Business Machines Corp,250.0,"9,482",-0.34,0.14,2025-03-27,21:58:26
Intel Corporation,23.29,"739,968",-0.13,0.56,2025-03-27,21:58:26
JPMorgan Chase & Co,250.21,"17,480",-0.82,0.33,2025-03-27,21:58:26
McDonald's Corp,315.2,"4,706",1.62,0.52,2025-03-27,21:58:26
Salesforcecom Inc,280.1,"4,426",-0.89,0.32,2025-03-27,21:58:26
Verizon Communications Inc,44.34,"22,011",0.16,0.36,2025-03-27,21:58:26
Visa Inc,344.06,"3,899",-0.12,0.03,2025-03-27,21:58:26
Walmart Inc,84.81,"42,238",-0.4,0.47,2025-03-27,21:58:26
Walt Disney Company The,100.45,"11,556",-0.33,0.33,2025-03-27,21:58:26
Nike Inc,65.9,"337,882",0.1,0.15,2025-03-28,15:31:18
Coca-Cola Company The,70.8,"354,876",0.06,0.08,2025-03-28,15:31:18
Microsoft Corporation,389.29,"126,444",-1.29,0.33,2025-03-28,15:31:18
American Express Co,270.8,"1,704",-1.22,0.45,2025-03-28,15:31:18
Amgen Inc,305.0,664,-0.77,0.25,2025-03-28,15:31:18
Apple Inc,222.19,"309,651",-1.66,0.74,2025-03-28,15:31:18
Boeing Company The,178.23,"25,607",-0.88,0.49,2025-03-28,15:31:18
Cisco Systems Inc,61.72,"115,632",0.32,0.52,2025-03-28,15:31:18
Goldman Sachs Group Inc The,556.0,"149,546",-2.92,0.52,2025-03-28,15:31:18
International Business Machines Corp,246.2,"3,318",-0.01,0.0,2025-03-28,15:31:18
Intel Corporation,23.54,"1,415,725",-0.08,0.34,2025-03-28,15:31:18
JPMorgan Chase & Co,247.0,"411,813",-1.12,0.45,2025-03-28,15:31:18
McDonald's Corp,310.57,"63,038",-2.12,0.68,2025-03-28,15:31:18
Salesforcecom Inc,276.5,"4,195",-1.31,0.47,2025-03-28,15:31:18
Verizon Communications Inc,45.1,"425,796",0.14,0.31,2025-03-28,15:31:18
Visa Inc,349.21,"3,725",-0.65,0.19,2025-03-28,15:31:18
Walmart Inc,85.4,"674,488",-0.23,0.27,2025-03-28,15:31:18
Walt Disney Company The,100.31,"7,067",-0.14,0.14,2025-03-28,15:31:18
Nike Inc,65.9,"337,882",0.1,0.15,2025-03-28,17:58:24
Coca-Cola Company The,70.8,"354,876",0.06,0.08,2025-03-28,17:58:24
Microsoft Corporation,389.29,"126,444",-1.29,0.33,2025-03-28,17:58:24
American Express Co,270.8,"1,704",-1.22,0.45,2025-03-28,17:58:24
Amgen Inc,305.0,664,-0.77,0.25,2025-03-28,17:58:24
Apple Inc,222.19,"309,651",-1.66,0.74,2025-03-28,17:58:24
Boeing Company The,178.23,"25,607",-0.88,0.49,2025-03-28,17:58:24
Cisco Systems Inc,61.72,"115,632",0.32,0.52,2025-03-28,17:58:24
